facid,facname,fac_type_code,city,county_name,capacity,latitude,longitude,zip,license_status_description
10000164,MILESTONES OF DEVELOPMENT #5,ICFDDH,VALLEJO,SOLANO,6,38.115063,-122.201136,94591,ACTIVE
10000169,ADVENTIST HEALTH HOME CARE SERVICES,HHA,FORT BRAGG,MENDOCINO,0,39.43257067,-123.8007421,95437,ACTIVE
10000208,SPRING LAKE VILLAGE,SNF,SANTA ROSA,SONOMA,70,38.459016,-122.6435805,95409,ACTIVE
10000394,"BENNETT VALLEY ICF/DD-H, INC.",ICFDDH,SANTA ROSA,SONOMA,6,38.425266,-122.67225,95405,ACTIVE
10000431,PETALUMA ICF/DDH,ICFDDH,SONOMA,SONOMA,8,38.292138,-122.48496,95476,ACTIVE
10000465,BY THE BAY HEALTH,HHA,SONOMA,SONOMA,0,38.292291,-122.464836,95476,ACTIVE
10000480,VELMA HOUSE,ICFDDH,SANTA ROSA,SONOMA,6,38.452221,-122.7658815,95403,ACTIVE
10000481,REDWOOD HOUSE,ICFDDN,SANTA ROSA,SONOMA,6,38.505429,-122.7584745,95403,ACTIVE
10000572,VICTORIA DRIVE HOUSE,ICFDDH,SANTA ROSA,SONOMA,6,38.4093,-122.722218,95407,ACTIVE
10000585,FIFTY-O-ONE PARKHURST,ICFDDH,SANTA ROSA,SONOMA,6,38.47608,-122.6612835,95409,ACTIVE
10000587,"HOME HEALTH CARE, INC.",HHA,SANTA ROSA,SONOMA,0,38.46464973,-122.6620887,95409,ACTIVE
10000598,SACRAMENTO HOUSE,ICFDDH,SANTA ROSA,SONOMA,6,38.436282,-122.667948,95405,ACTIVE
10000620,MUSTARD SEED,ICFDDH,VACAVILLE,SOLANO,6,38.355705,-121.99563,95688,ACTIVE
10000652,KAISER FOUNDATION HOSPITAL HOME HEALTH-SANTA ROSA,HHA,SANTA ROSA,SONOMA,0,38.47617,-122.725773,95403,ACTIVE
10000654,ADVENTIST HEALTH HOME CARE SERVICES,HHA,WILLITS,MENDOCINO,0,39.390984,-123.337269,95490,ACTIVE
10000659,SUTTER COAST HOME CARE,HHA,CRESCENT CITY,DEL NORTE,0,41.772438,-124.1928,95531,ACTIVE
10000673,DOUGLAS HOUSE,ICFDDH,SANTA ROSA,SONOMA,6,38.437641,-122.672907,95405,ACTIVE
10000684,PROVIDENCE HOME HEALTH SONOMA,HHA,SANTA ROSA,SONOMA,0,38.44575775,-122.7186959,95401,ACTIVE
10000792,CROSSROADS,ICFDDH,DIXON,SOLANO,6,38.458125,-121.8342195,95620,ACTIVE
10000793,PATHWAYS 2,ICFDDN,FAIRFIELD,SOLANO,6,38.284704,-122.011812,94533,ACTIVE
10000801,DANNY'S PLACE,ICFDDN,SANTA ROSA,SONOMA,6,38.53021545,-122.7824537,95403,ACTIVE
10000822,BADGER CREEK,ICFDDN,SANTA ROSA,SONOMA,6,38.481912,-122.6767815,95409,ACTIVE
10000860,GREENFIELDS I ICF-DDN,ICFDDN,VALLEJO,SOLANO,6,38.117574,-122.1975,94591,ACTIVE
10000864,CROSSROADS II,ICFDDH,DIXON,SOLANO,6,38.461986,-121.8340845,95620,ACTIVE
10000885,"PACIFIC MEDICAL RESOURCES, INC.",HHA,FORT BRAGG,MENDOCINO,0,39.43264421,-123.8052496,95437,ACTIVE
10000907,GREENFIELDS II ICF-DDN,ICFDDN,FAIRFIELD,SOLANO,6,38.270493,-122.0586435,94534,ACTIVE
10000923,AT HOME NURSING SERVICES,HHA,SANTA ROSA,SONOMA,0,38.41718274,-122.753836,95407,ACTIVE
10000936,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",SNF,SAN RAFAEL,MARIN,54,37.974582,-122.535549,94901,ACTIVE
10000938,SOUTH MARIN HEALTH & WELLNESS CENTER,SNF,GREENBRAE,MARIN,72,37.944234,-122.535801,94904,ACTIVE
10000940,NOVATO HEALTHCARE CENTER,SNF,NOVATO,MARIN,181,38.095974,-122.576454,94947,ACTIVE
10000949,PINE RIDGE CARE CENTER,SNF,SAN RAFAEL,MARIN,101,38.010393,-122.539716,94903,ACTIVE
10000951,TIBURON HILLS CARE CENTER,SNF,BELVEDERE TIBURON,MARIN,56,37.900845,-122.481072,94920,ACTIVE
10000956,SUTTER CARE AT HOME,HHA,NOVATO,MARIN,0,38.09709,-122.558139,94945,ACTIVE
10000959,MARIN POST ACUTE,SNF,SAN RAFAEL,MARIN,168,38.002581,-122.5211985,94903,ACTIVE
10000968,PROFESSIONAL POST ACUTE CENTER,SNF,SAN RAFAEL,MARIN,99,38.010276,-122.538168,94903,ACTIVE
10000980,NORTHGATE POSTACUTE CARE,SNF,SAN RAFAEL,MARIN,54,38.009448,-122.538078,94903,ACTIVE
10000985,THE TAMALPAIS,SNF,GREENBRAE,MARIN,26,37.945647,-122.532219,94904,ACTIVE
10000995,VILLA MARIN RETIREMENT RESIDENCES,SNF,SAN RAFAEL,MARIN,31,38.003535,-122.5496115,94903,ACTIVE
10000998,ABLE,ICFDDH,SAN RAFAEL,MARIN,9,37.995291,-122.5442205,94903,ACTIVE
10001004,KAISER FOUNDATION HOSPITAL HOME HEALTH-NOVATO,HHA,NOVATO,MARIN,0,38.10321,-122.569641,94945,ACTIVE
10001007,"THE REDWOODS, A COMMUNITY OF SENIORS",SNF,MILL VALLEY,MARIN,58,37.893933,-122.529123,94941,ACTIVE
10001031,STONEHAVEN,ICFDDH,NOVATO,MARIN,6,38.112264,-122.608053,94947,ACTIVE
10001033,"NOVA HOUSE, INC.",ICFDDH,SAN RAFAEL,MARIN,6,37.998702,-122.5485945,94903,ACTIVE
10001037,SMITH RANCH SKILLED NURSING & REHABILITATION CENTER,SNF,SAN RAFAEL,MARIN,80,38.020149,-122.5261755,94903,ACTIVE
10001047,HEART OF HUMANITY HEALTH SERVICES,HHA,NOVATO,MARIN,0,38.108844,-122.575266,94945,ACTIVE
10001124,MONTE VERDE,ICFDDN,SANTA ROSA,SONOMA,6,38.470806,-122.6433825,95409,ACTIVE
10001128,NEURORESTORATIVE CALIFORNIA,CLHF,FAIRFAX,MARIN,12,37.995003,-122.5950705,94930,ACTIVE
10001139,GREENFIELDS III ICF-DDN,ICFDDN,VALLEJO,SOLANO,6,38.129274,-122.218929,94591,ACTIVE
10001140,ARBOL HEALTHCARE CENTER OF SANTA ROSA,SNF,SANTA ROSA,SONOMA,45,38.474964,-122.7225555,95403,ACTIVE
10001143,"PARADISE VALLEY ICF DDH, INC",ICFDDH,FAIRFIELD,SOLANO,6,38.289807,-122.0260995,94533,ACTIVE
10001148,SUTTER CARE AT HOME,HHA,SANTA ROSA,SONOMA,0,38.44099289,-122.7455995,95401,ACTIVE
10001150,"EAST BAY HOME HEALTH SERVICES, INC.",HHA,FAIRFIELD,SOLANO,0,38.260476,-122.049621,94533,ACTIVE
20000005,ST ANTHONY CARE CENTER,SNF,HAYWARD,ALAMEDA,30,37.671273,-122.0918535,94541,ACTIVE
20000010,ASHBY CARE CENTER,SNF,BERKELEY,ALAMEDA,31,37.855566,-122.2618185,94705,ACTIVE
20000015,BANCROFT HEALTHCARE CENTER,SNF,SAN LEANDRO,ALAMEDA,36,37.725435,-122.1475095,94577,ACTIVE
20000019,VISTA POST ACUTE,SNF,HAYWARD,ALAMEDA,71,37.679148,-122.0468175,94541,ACTIVE
20000020,WINDSOR COUNTRY DRIVE CARE CENTER,SNF,FREMONT,ALAMEDA,126,37.557018,-121.98492,94536,ACTIVE
20000026,"BAY VIEW REHABILITATION HOSPITAL, LLC",SNF,ALAMEDA,ALAMEDA,170,37.759995,-122.254614,94501,ACTIVE
20000028,BERKELEY PINES SKILLED NURSING CENTER,SNF,BERKELEY,ALAMEDA,36,37.856115,-122.2627455,94705,ACTIVE
20000029,BETHESDA HOME,SNF,HAYWARD,ALAMEDA,40,37.672182,-122.0884785,94541,ACTIVE
20000036,MISSION VALLEY POST ACUTE,SNF,FREMONT,ALAMEDA,85,37.559016,-121.98213,94536,ACTIVE
20000037,EMMANUEL POST ACUTE CARE - HAYWARD,SNF,HAYWARD,ALAMEDA,99,37.640493,-122.080482,94544,ACTIVE
20000039,HAYWARD HEALTHCARE & WELLNESS CENTER,SNF,HAYWARD,ALAMEDA,99,37.645272,-122.116122,94545,ACTIVE
20000040,MASONIC HOME,SNF,UNION CITY,ALAMEDA,125,37.598823,-122.0058495,94587,ACTIVE
20000043,ALAMEDA HEALTHCARE & WELLNESS CENTER,SNF,ALAMEDA,ALAMEDA,166,37.758681,-122.255028,94501,ACTIVE
20000047,HAYWARD HILLS HEALTH CARE CENTER,SNF,HAYWARD,ALAMEDA,74,37.682073,-122.069259,94541,ACTIVE
20000048,CHAPARRAL HOUSE,SNF,BERKELEY,ALAMEDA,49,37.867518,-122.285601,94702,ACTIVE
20000053,CRESTWOOD MANOR - FREMONT,SNF,FREMONT,ALAMEDA,126,37.537524,-121.977216,94538,ACTIVE
20000054,"PRINCETON MANOR HEALTHCARE CENTER, LLC",SNF,OAKLAND,ALAMEDA,82,37.76996856,-122.1960052,94621,ACTIVE
20000060,GOLDEN HARBOR HEALTHCARE CENTER,SNF,HAYWARD,ALAMEDA,99,37.67485401,-122.097946,94541,ACTIVE
20000064,ST. PAUL'S TOWERS,SNF,OAKLAND,ALAMEDA,43,37.811898,-122.2602975,94610,ACTIVE
20000065,WE CARE SKILLED NURSING FACILITY,SNF,HAYWARD,ALAMEDA,28,37.676565,-122.094225,94541,ACTIVE
20000066,VALLEY POINTE NURSING & REHABILITATION CENTER,SNF,CASTRO VALLEY,ALAMEDA,50,37.697697,-122.090301,94546,ACTIVE
20000068,ST JOHN KRONSTADT CONVALESCENT CENTER,SNF,CASTRO VALLEY,ALAMEDA,49,37.707066,-122.070024,94546,ACTIVE
20000070,ALL SAINT'S SUBACUTE & TRANSITIONAL CARE,SNF,SAN LEANDRO,ALAMEDA,70,37.704429,-122.119479,94578,ACTIVE
20000071,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,SNF,HAYWARD,ALAMEDA,99,37.64727,-122.082624,94544,ACTIVE
20000074,"SERENETHOS CARE CENTER, LLC",SNF,HAYWARD,ALAMEDA,36,37.665873,-122.0909985,94541,ACTIVE
20000076,ST. FRANCIS HEALTHCARE CENTER,SNF,HAYWARD,ALAMEDA,62,37.669302,-122.1180345,94541,ACTIVE
20000077,SAN LEANDRO HEALTHCARE CENTER,SNF,SAN LEANDRO,ALAMEDA,62,37.724625,-122.1517215,94577,ACTIVE
20000079,MEDICAL HILL HEALTHCARE CENTER,SNF,OAKLAND,ALAMEDA,124,37.817541,-122.2664445,94609,ACTIVE
20000087,WEST SHORE POST ACUTE,SNF,ALAMEDA,ALAMEDA,135,37.765188,-122.2707465,94501,ACTIVE
20000090,EDEN HEALTHCARE CENTER,SNF,HAYWARD,ALAMEDA,121,37.634877,-122.0764365,94544,ACTIVE
20000091,PIEDMONT GARDENS HEALTH FACILITY,SNF,OAKLAND,ALAMEDA,94,37.826289,-122.251014,94611,ACTIVE
20000093,EXCELL HEALTH CARE CENTER,SNF,OAKLAND,ALAMEDA,99,37.785087,-122.2006995,94619,ACTIVE
20000094,WE CARE SKILLED NURSING - FREMONT,SNF,FREMONT,ALAMEDA,99,37.558764,-121.9811625,94536,ACTIVE
20000099,MCCLURE POST ACUTE,SNF,OAKLAND,ALAMEDA,60,37.818315,-122.266107,94609,ACTIVE
20000100,MERCY RETIREMENT & CARE CENTER,SNF,OAKLAND,ALAMEDA,59,37.782108,-122.220765,94601,ACTIVE
20000101,NILES CANYON POST ACUTE,SNF,FREMONT,ALAMEDA,73,37.570527,-121.9653315,94536,ACTIVE
20000103,HAYWARD GARDENS POST ACUTE,SNF,HAYWARD,ALAMEDA,75,37.679724,-122.0718735,94541,ACTIVE
20000104,MARINA GARDEN NURSING CENTER,SNF,ALAMEDA,ALAMEDA,32,37.763442,-122.2255755,94501,ACTIVE
20000110,LAKE MERRITT HEALTHCARE CENTER LLC,SNF,OAKLAND,ALAMEDA,53,37.81413,-122.2519095,94610,ACTIVE
20000111,JONES CONVALESCENT HOSPITAL,SNF,SAN LEANDRO,ALAMEDA,25,37.727532,-122.151132,94577,ACTIVE
20000112,KYAKAMEENA CARE CENTER,SNF,BERKELEY,ALAMEDA,60,37.861713,-122.2652025,94704,ACTIVE
20000114,LAKE PARK HEALTHCARE CENTER,SNF,OAKLAND,ALAMEDA,35,37.805301,-122.263947,94612,ACTIVE
20000115,OAKLAND HEALTHCARE & WELLNESS CENTER,SNF,OAKLAND,ALAMEDA,98,37.81935,-122.262993,94609,ACTIVE
20000116,EAST BAY POST-ACUTE,SNF,CASTRO VALLEY,ALAMEDA,91,37.696851,-122.0872005,94546,ACTIVE
20000119,REDWOOD HEALTHCARE CENTER LLC,SNF,OAKLAND,ALAMEDA,44,37.785627,-122.199309,94619,ACTIVE
20000123,SAGE POST ACUTE,SNF,HAYWARD,ALAMEDA,99,37.682577,-122.0675895,94541,ACTIVE
20000124,FRUITVALE HEALTHCARE CENTER,SNF,OAKLAND,ALAMEDA,140,37.779705,-122.226822,94601,ACTIVE
20000125,GARFIELD NEUROBEHAVIORAL CENTER,SNF,OAKLAND,ALAMEDA,96,37.780848,-122.229468,94601,ACTIVE
20000128,ELMWOOD CARE CENTER,SNF,BERKELEY,ALAMEDA,77,37.85742,-122.266035,94705,ACTIVE
20000129,CRESTWOOD TREATMENT CENTER,SNF,FREMONT,ALAMEDA,88,37.558332,-121.9826025,94538,ACTIVE
20000132,FREMONT HEALTHCARE CENTER,SNF,FREMONT,ALAMEDA,115,37.544454,-121.9908645,94538,ACTIVE
20000133,DRIFTWOOD HEALTHCARE CENTER - HAYWARD,SNF,HAYWARD,ALAMEDA,88,37.668384,-122.118678,94541,ACTIVE
20000135,BAY AREA HEALTHCARE CENTER,SNF,OAKLAND,ALAMEDA,99,37.795338,-122.2459065,94606,ACTIVE
20000161,JOHN MUIR HOME HEALTH SERVICES,HHA,CONCORD,CONTRA COSTA,0,38.010483,-122.033898,94520,ACTIVE
20000177,SUTTER CARE AT HOME - BRANCH,HHA,ALAMEDA,ALAMEDA,0,37.781127,-122.2658775,94501,ACTIVE
20000274,THE REHABILITATION CENTER OF OAKLAND,SNF,OAKLAND,ALAMEDA,70,37.82695537,-122.2549127,94611,ACTIVE
20000275,WASHINGTON CENTER,SNF,SAN LEANDRO,ALAMEDA,99,37.697724,-122.139018,94578,ACTIVE
20000276,CANYON CREEK POST-ACUTE,SNF,CASTRO VALLEY,ALAMEDA,70,37.686411,-122.0745375,94546,ACTIVE
20000277,BAY MARINA POST ACUTE,SNF,OAKLAND,ALAMEDA,94,37.793709,-122.2196355,94602,ACTIVE
20000334,LITTLEFOOT HOUSE,ICFDDH,FREMONT,ALAMEDA,6,37.505664,-121.921155,94539,ACTIVE
20000427,"ACCENTCARE HOME HEALTH OF CALIFORNIA, INC.",HHA,SAN RAMON,CONTRA COSTA,0,37.774674,-121.972644,94583,ACTIVE
20000631,SERRA RESIDENTIAL CENTER - ELLEN HOUSE,ICFDDH,FREMONT,ALAMEDA,6,37.526985,-121.9692645,94538,ACTIVE
20000647,PARK HOUSE,ICFDDH,FREMONT,ALAMEDA,6,37.534716,-121.987944,94538,ACTIVE
20000648,STANLEY HOUSE,ICFDDH,DUBLIN,ALAMEDA,6,37.716732,-121.927635,94568,ACTIVE
20000685,CORAM CVS/SPECIALTY INFUSION SERVICES,HHA,CONCORD,CONTRA COSTA,0,37.97033772,-122.0508986,94520,ACTIVE
20000706,SUTTER CARE AT HOME,HHA,CONCORD,CONTRA COSTA,0,38.020176,-122.031486,94520,ACTIVE
20000714,KAISER FOUNDATION HOSPITAL HOME HEALTH - OAKLAND,HHA,OAKLAND,ALAMEDA,0,37.833606,-122.254119,94611,ACTIVE
20000715,KAISER FOUNDATION HOSPITAL HOME HEALTH - MARTINEZ,HHA,MARTINEZ,CONTRA COSTA,0,37.993509,-122.1103845,94553,ACTIVE
20000716,KAISER FOUNDATION HOSPITAL HOME HEALTH - HAYWARD,HHA,UNION CITY,ALAMEDA,0,37.60845039,-122.0715596,94587,ACTIVE
20000763,AMEDISYS HOME HEALTH CARE,HHA,HAYWARD,ALAMEDA,0,37.6533,-122.1052275,94545,ACTIVE
20000794,"ACCREDO HEALTH GROUP, INC.",HHA,RANCHO CORDOVA,SACRAMENTO,0,38.58552,-121.2903675,95670,ACTIVE
20000808,MORTON BAKAR CENTER,SNF,HAYWARD,ALAMEDA,97,37.678851,-122.103999,94541,ACTIVE
20000813,SERRA CENTER VALPEY PARK HOUSE,ICFDDH,FREMONT,ALAMEDA,6,37.519677,-121.971825,94538,ACTIVE
20000830,"COMMUNITY CARE SERVICES, INC.",HHA,OAKLAND,ALAMEDA,0,37.739142,-122.2015815,94621,ACTIVE
20000836,RUUS VILLA,ICFDDH,HAYWARD,ALAMEDA,6,37.622196,-122.064732,94544,ACTIVE
20000851,PROFESSIONAL HOME CARE ASSOCIATES,HHA,FREMONT,ALAMEDA,0,37.557891,-121.9836465,94536,ACTIVE
20000877,ELENA'S ICF/DD-H,ICFDDH,HAYWARD,ALAMEDA,6,37.642374,-122.100138,94545,ACTIVE
20000880,OAKLAND HEIGHTS NURSING AND REHABILITATION,SNF,OAKLAND,ALAMEDA,48,37.794726,-122.2252155,94606,ACTIVE
20000924,"MAXIM HEALTHCARE SERVICES, INC.",HHA,EMERYVILLE,ALAMEDA,0,37.838088,-122.301747,94608,ACTIVE
20000950,CENTER FOR ELDERS INDEPENDENCE/HHA,HHA,OAKLAND,ALAMEDA,0,37.809873,-122.273415,94612,ACTIVE
20000960,BAHAMA HOME ICF/DDH,ICFDDH,HAYWARD,ALAMEDA,6,37.626966,-122.101731,94545,ACTIVE
20000987,ELENA'S ICF/DD-H #2,ICFDDH,HAYWARD,ALAMEDA,6,37.642311,-122.0966325,94545,ACTIVE
20001047,ACCENTCARE HOME HEALTH - PETALUMA  BRANCH,HHA,PETALUMA,SONOMA,0,38.233269,-122.637393,94952,ACTIVE
20001052,SERRA CENTER SAN JUAN HOME,ICFDDH,FREMONT,ALAMEDA,6,37.560888,-122.0211945,94536,ACTIVE
20001071,"ASIAN NETWORK PACIFIC HOME CARE, INC.",HHA,OAKLAND,ALAMEDA,0,37.798965,-122.267763,94607,ACTIVE
20001114,MAIN ICF/DD-N,ICFDDN,HAYWARD,ALAMEDA,6,37.680066,-122.089815,94541,ACTIVE
20001146,ELENA'S ICF/DD-H #3,ICFDDH,HAYWARD,ALAMEDA,6,37.643616,-122.0971455,94545,ACTIVE
20001151,AMEDISYS HOME HEALTH CARE - BRANCH,HHA,PLEASANT HILL,CONTRA COSTA,0,37.939068,-122.057028,94523,ACTIVE
20001156,BARROW ICF/DD-N,ICFDDN,SAN LEANDRO,ALAMEDA,6,37.705302,-122.181165,94577,ACTIVE
20001157,SUNDALE,ICFDDH,DUBLIN,ALAMEDA,6,37.715661,-121.9179735,94568,ACTIVE
20001173,"CRESCENT HEALTHCARE, INC.",HHA,HAYWARD,ALAMEDA,0,37.632591,-122.112954,94545,ACTIVE
20001174,AMEDISYS HOME HEALTH CARE,HHA,CAMPBELL,SANTA CLARA,0,37.292571,-121.9493115,95008,ACTIVE
20001179,BRIDLE ICF/DD-N,ICFDDN,HAYWARD,ALAMEDA,6,37.670418,-122.044491,94541,ACTIVE
20001191,PORTSMOUTH ICF/DDH,ICFDDH,HAYWARD,ALAMEDA,6,37.624752,-122.102226,94545,ACTIVE
20001198,SUMMER'S HOME ICF/DD-H,ICFDDH,HAYWARD,ALAMEDA,6,37.627083,-122.0932215,94545,ACTIVE
20001211,PROFESSIONAL HOME CARE ASSOCIATES - BRANCH,HHA,LIVERMORE,ALAMEDA,0,37.6965,-121.7743245,94551,ACTIVE
20001246,CITRON WAY ICF/DD-H,ICFDDH,HAYWARD,ALAMEDA,6,37.645839,-122.1033465,94545,ACTIVE
20001250,BELLAKEN SKILLED NURSING CENTER,SNF,OAKLAND,ALAMEDA,61,37.793313,-122.221305,94601,ACTIVE
20001252,VESTAL HOUSE ICF/DD-H,ICFDDH,SAN LEANDRO,ALAMEDA,6,37.715931,-122.1340185,94578,ACTIVE
20001257,"ACCENTCARE HOME HEALTH OF CALIFORNIA, INC.",HHA,PLEASANT HILL,CONTRA COSTA,0,37.94463,-122.05989,94523,ACTIVE
20001258,BUILD HOME,ICFDDH,BERKELEY,ALAMEDA,6,37.866447,-122.2963785,94710,ACTIVE
20001263,MIKA'S HOME ICF/DD-H,ICFDDH,UNION CITY,ALAMEDA,6,37.582317,-122.015439,94587,ACTIVE
20001272,PERLITA HOUSE,ICFDDN,HAYWARD,ALAMEDA,6,37.688166,-122.058855,94541,ACTIVE
20001276,LEWIS HOUSE,ICFDDH,DUBLIN,ALAMEDA,6,37.708821,-121.9239405,94568,ACTIVE
20001282,GEORGE MARK CHILDREN'S HOUSE,CLHF,SAN LEANDRO,ALAMEDA,9,37.708533,-122.1162165,94578,ACTIVE
20001284,RUUS HOME ICF/DD-H,ICFDDH,HAYWARD,ALAMEDA,6,37.626201,-122.103873,94545,ACTIVE
20001287,"EAST BAY INTEGRATED CARE, INC. - BRUNS HOUSE",HOFA,ALAMO,CONTRA COSTA,6,37.861515,-122.0211,94507,ACTIVE
20001289,NEAL'S HOME,ICFDDN,HAYWARD,ALAMEDA,6,37.644705,-122.099382,94545,ACTIVE
20001292,"E & J CARE PROVIDER, INC",ICFDDH,UNION CITY,ALAMEDA,6,37.592064,-122.0667345,94587,ACTIVE
20001294,CENTERWELL ASIAN AMERICAN HOME HEALTH,HHA,ALAMEDA,ALAMEDA,0,37.785996,-122.2747965,94501,ACTIVE
20001298,CENTERWELL ASIAN AMERICAN HOME HEALTH,HHA,SAN JOSE,SANTA CLARA,0,37.339839,-121.9213305,95126,ACTIVE
20001300,NURSING RESOURCES,HHA,UNION CITY,ALAMEDA,0,37.595718,-122.0803335,94587,ACTIVE
30000004,ROSEVILLE POINT HEALTH & WELLNESS CENTER,SNF,ROSEVILLE,PLACER,98,38.737467,-121.272435,95661,ACTIVE
30000005,COLLEGE OAK NURSING AND REHABILITATION CENTER,SNF,SACRAMENTO,SACRAMENTO,120,38.64969,-121.3513875,95841,ACTIVE
30000011,ROCK CREEK CARE CENTER,SNF,AUBURN,PLACER,84,38.890656,-121.0779495,95603,ACTIVE
30000012,GOLDEN SAN ANDREAS CARE CENTER,SNF,SAN ANDREAS,CALAVERAS,99,38.18943,-120.668841,95249,ACTIVE
30000013,AUBURN RAVINE HEALTHCARE CENTER,SNF,AUBURN,PLACER,59,38.91204,-121.074201,95603,ACTIVE
30000016,NORTH STARR POSTACUTE CARE,SNF,TURLOCK,STANISLAUS,31,37.502145,-120.8468565,95380,ACTIVE
30000019,NORTH POINTE CARE CENTER,SNF,SACRAMENTO,SACRAMENTO,161,38.643435,-121.454145,95838,ACTIVE
30000023,ADVENTIST HEALTH SONORA - D/P SNF (UNIT 6),SNF,SONORA,TUOLUMNE,32,37.979613,-120.39084,95370,ACTIVE
30000024,WESTVIEW HEALTHCARE CENTER,SNF,AUBURN,PLACER,205,38.953107,-121.0946535,95602,ACTIVE
